id,text
video3_1371,你覺得這新鮮的嗎
video10_125,就是你那種比例
video10_193,幹嘛，沒有想到這個檔案它
video2_85,評審希望他真的有什麼想法
video5_370,今天高鐵趕不趕上呀
video11_1271,冷冷的天果然鹹豆漿最過癮
video1_379,而且還收到最新消息
video2_795,盛典我們比較常感覺
video12_33,我們這條命關切你自己看吧
video8_258,它的肉的感覺很紮實
video7_886,盛典的湯很有記憶點
video10_447,我相信他一定失望的
video3_1194,生魚片之前，全程由專人服務。
video7_373,它是乳香的泡菜
video7_805,就是它，而且它...
video5_376,單槓場純粹因為回報了
video3_788,你知道有時候來的時候要放慢步調
video12_937,可是等一下500
video10_345,我沒講你吹牛啊
video8_1008,它這個醬油都是加好吃的
video11_1309,媽媽說這邊有搞頭的木頭椅子
video7_291,你的貢獻對水波顯著進步
video5_487,而且還收到最新消息
video6_518,你們喜歡這麼太濃
video3_1544,沒有妳真的不會忘了吃飯
video11_418,所以其實不會像是肉膜
video8_742,然後餡也都吃不完啊
video8_660,因為它的溫體牛好好吃
video7_442,我覺得這票很棒啦
video5_309,好，我去倒杯水
video9_126,選用真材實料的邊邊芋頭啦
video9_157,一出站請大家操作的時候來這裡
video11_1335,可是它偏厚的螃蟹一定熟了
video8_789,可是現在是滿懷着理想的啊
video11_552,堅持軍人就是應該有精神
video4_813,我們去打探不是回鍋肉的感覺
video12_1203,這真是更像漢堡對吧
video7_237,我相信他一定失望的
video10_426,我是不了解你綠豆糕哪來的自信
video12_991,你真一沒有做自己的
video4_1509,真的不會再發生類似的事了
video10_252,對不起你們家的肉汁
video4_1362,蛤蠣絲瓜那個湯我喝過...
video4_1148,請消費看看，我只有十足的把握
video1_890,就是遠遠的這樣子看嘛 對不對
video9_560,這個地方好可愛喔
video8_203,有沒有認同那個口感
video10_998,妳要和我結婚是誰叫的
video9_704,而且還收到最新消息
video11_367,好看它的肉羹不是一般的
video10_841,他們已經穩定了
video3_1440,接下來泡湯對我來說很好
video8_177,所以搭配十足的餅皮
video9_305,吃了十碗泡麵的方法
video9_178,就是像我們一樣什麼都會
video6_105,這次的金鐘獎啊，他做得太過分了
video9_54,你知道不知道嗎
video10_1144,你以為我們是朋友嗎
video11_88,它是台中非常有名的火鍋店一定比較好
video6_449,連士官長什麼事
video1_221,你叫什麼名字真的嗎
video9_610,就是他的手伸直嘛 對不對
video8_1040,台式豬腳飯的味道
video12_347,台南薄皮牛也喜歡
video8_842,但是你真的沒吃過那個飯吧
video5_1241,妳應該先看那個紙條
video3_216,"報告老闆,在戒菸之前"
video7_729,"余班長, 你昨晚作夢嗎"
video4_81,到這裡，這個可以再吃六間
video1_730,觀眾會拿著這票來這裡
video11_92,對啊 我們都是魂牽夢縈
video6_723,幹嘛拿這些漂亮東西
video9_867,妳應該先看那個紙條，紅燒湯底
video1_842,下去就應該下去 對嘛
video6_813,繼續搜索是誰啊，幹嘛
video2_1030,可是妳穿透忘了吃連飯。
video1_1001,看對啦，他們有用大蒜
video4_121,對啊 因為吃下去提拉米蘇一般
video4_574,我也給你惹了營站的麻煩
video7_1170,就是遠遠的這樣子看嘛 對不對
video6_527,我都讓妳趕快開始走運
video10_514,其實我拜託你來承擔
video1_916,感覺上跟第一次不太一樣
video1_856,怎麼像麻油雞那樣走就是
video1_817,那我們離開以前，要不要吃牛肉捲餅
video10_969,也不只是為了求這間甜點
video12_858,然後餡也都吃不完啊
video1_835,怎麼了，你不小心了是不是
video4_1018,鴨油其實沒有說到滲出來的那種
video4_1176,在單槓場旁邊等每次來的人
video9_53,幫我包一個茼香起來
video4_869,那個雞絲像一點自然沒有話說
video6_333,你知道燈光晚餐嗎
video6_9,對呀 大概就是這個感覺
video8_629,我都讓妳趕快開始走運
video12_159,因為這個他其實沒有陪
video1_648,我們不會跟你說那個
video4_1507,我覺得先看浴室
video2_1471,他的處境時常很尷尬
video8_1052,感覺再加上那個蔬菜的甜最過癮
video9_541,雖然那個吃沾著剛剛好
video8_1446,說約這邊不見不散還
video10_1215,可是今天它還是那樣
video4_1114,而且還收到最新消息
video4_1344,還想走啊，班長
video1_560,選用真材實料的邊邊芋頭啦
video2_296,甜味大於辣味
video1_921,我們比較常感覺這樣子就是原味全部鎖在裡面
video4_567,可是在高雄有一種軟綿的味道
video3_179,真的喔吃什麼不然你
video1_1085,因為這樣你吃下去之後
video7_363,先把羅剛留下來
video9_280,單槓場純粹因為回報
video9_959,不會像一般的湯那麼酷
video10_453,講出對的話喔
video10_1204,你們來台灣幹嘛
video9_1017,所要預留的電話與條件
video6_695,我爸以前都不愛麻醬麵
video3_1068,你覺得更感動的是，本來要待在醫院
