id	output	model_output
2930	3	3:加強酒駕者的道安講習
1230	2	2:收購案
5117	3	3:智深
8949	4	4:年老的
3425	3	1:寶玉
12568	4	4:台鐵1258次通勤電車
2257	4	3:英國
9929	2	2:191
7346	4	4:耳目有隔閡
11782	2	2:危及生命
5059	1	3:哪吒三太子
7535	2	2:省城
12412	1	1:35度
5593	1	1:士毅
12472	2	2:2
11606	1	1:304
11025	4	4:多人同寢
1221	1	1:超過80美元
297	1	1:刺客聶隱娘
12750	3	3:8次
8060	3	3:9
13525	3	3:23
11655	2	2:第三條第二項
10518	2	2:新加坡
7672	3	3:醫師
7044	3	2:2
11250	2	2:買賣定型化契約
12234	4	4:39件
12961	1	3:政務人員退職撫卹條例
3446	1	1:賈蓉
418	2   	4:東吳
2070	4	4:機車應遵守人車各行其道的觀念
7437	3	3:水生
5991	1	1:自己的生活不會去銀行、役場官廳這種地方
11037	3	3:監資處處長
10755	2	2:十九號
513	1	1:21歲又162天
12751	2	2:觀山河濱公園的觀山自行車租借站
1361	2	2:香味
11938	4	4:噪音改裝車
9362	2	2:因為上了年紀
7338	1	1:船體不牢
70	2	2:2
12735	1	1:5到15分鐘
677	4	4:祖柏克
12814	3	3:洪仲丘
8634	3	3:說要請他
10152	3	3:30
12645	1	1:尉級
6884	4	4:以上皆是
